,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,,,196,Puffinus,yelkouan,,Baldriga mediterrània,Yelkouan Shearwater
,,,197,Puffinus,mauretanicus,,Baldriga balear,Balearic Shearwater
,,,,,,,,
XV,CICONIIFORMES,,,,,,
,25,Ciconiidae,,,,,,Storks
,,,198,Ciconia,nigra,,Cigonya negra,Black Stork
,,,199,Ciconia,ciconia,,Cigonya blanca,White Stork
,,,,,,,,
XVI,SULIFORMES,,,,,,
,26,Sulidae,,,,,,"Gannets, Boobies"
,,,200,Morus,bassanus,,Mascarell atlàntic,Northern Gannet
,,,201,Sula,sula,,Mascarell cama-roig,Red-footed Booby
,,,,,,,,
,27,Phalacrocoracidae,,,,,,"Cormorants, Shags"
,,,202,Microcarbo,pygmaeus,,Corbmarí pigmeu,Pygmy Cormorant
,,,203,Phalacrocorax,aristotelis,desmarestii,Corbmarí emplomallat,Mediterranean Shag
,,,204,Phalacrocorax,carbo,sinensis,Corbmarí gros,Great Cormorant
XVII,PELECANIFORMES,,,,,,
,28,Threskiornithidae,,,,,,"Ibises, Spoonbills"
,,,205,Threskiornis,aethiopicus,,Ibis sagrat,African Sacred Ibis
,,,206,Plegadis,falcinellus,,Capó reial,Glossy Ibis
,,,207,Platalea,leucorodia,,Becplaner,Eurasian Spoonbill
,,,,,,,,
,29,Ardeidae,,,,,,"Herons, Bitterns"
,,,208,Botaurus,stellaris,,Bitó comú,Eurasian Bittern
,,,209,Botaurus,lentiginosus,,Bitó americà,American Bittern
,,,210,Ixobrychus,minutus,,Martinet menut,Little Bittern
,,,211,Nycticorax,nycticorax,,Martinet de nit,Black-crowned Night Heron
,,,212,Ardeola,ralloides,,Martinet ros,Squacco Heron
,,,213,Bubulcus,ibis,,Esplugabous,Western Cattle Egret
,,,214,Ardea,cinerea,,Bernat pescaire,Grey Heron
,,,215,Ardea,purpurea,,Agró roig,Purple Heron
,,,216,Ardea,alba,,Agró blanc,Great Egret
,,,217,Egretta,garzetta,,Martinet blanc,Little Egret
,,,218,Egretta,gularis,gularis,Martinet dels esculls,Western Reef Heron
,,,,,,,,
,30,Pelecanidae,,,,,,Pelicans
,,,219,Pelecanus,onocrotalus,,Pelicà vulgar,Great White Pelican
,,,220,Pelecanus,rufescens,,Pelicà rosat,Pink-backed Pelican
XVIII,ACCIPITRIFORMES,,,,,,
,31,Pandionidae,,,,,,Ospreys
